group_id,orig_code,dest_code,route_str,pax,num_legs,dep_hhmm,arr_hhmm,travel_time_min,voos
215,BR,SP,BR->SP,200,1,10:00,12:00,120,V0235
216,BR,SP,BR->SP,200,1,11:00,13:00,120,V0246
217,BR,SP,BR->SP,200,1,13:00,15:00,120,V0374
218,BR,SP,BR->SP,200,1,15:00,17:00,120,V0446
219,BR,SP,BR->SP,200,1,17:00,19:00,120,V0498
220,BR,SP,BR->SP,200,1,18:00,20:00,120,V0542
221,BR,SP,BR->SP,200,1,20:00,22:00,120,V0582
222,BR,SP,BR->SP,200,1,07:00,09:00,120,V0036
223,BR,SP,BR->SP,200,2,17:00,20:00,180,V0513 | V0559
224,BR,SP,BR->SP,200,2,18:00,21:00,180,V0540 | V0575
225,BR,SP,BR->SP,100,2,17:00,22:00,300,V0507 | V0587
226,BR,CR,BR->CR,200,1,06:00,09:00,180,V0018
227,BR,CR,BR->CR,200,1,08:00,11:00,180,V0133
228,BR,CR,BR->CR,200,1,11:00,14:00,180,V0282
229,BR,FL,BR->FL,200,1,13:00,16:00,180,V0346
230,BR,FL,BR->FL,200,1,15:00,18:00,180,V0456
231,BR,FL,BR->FL,100,1,17:00,20:00,180,V0507
232,BR,FL,BR->FL,100,1,11:00,14:00,180,V0250
233,BR,PA,BR->PA,200,1,14:00,18:00,240,V0391
234,BR,PA,BR->PA,200,1,15:00,19:00,240,V0425
235,BR,PA,BR->PA,200,1,17:00,21:00,240,V0506
236,BR,PA,BR->PA,200,1,08:00,12:00,240,V0124
237,BH,MA,BH->MA,200,1,11:00,15:00,240,V0253
238,BH,BE,BH->BE,200,1,10:00,14:00,240,V0231
239,BH,BE,BH->BE,100,1,12:00,16:00,240,V0296
240,BH,FO,BH->FO,200,1,07:00,10:00,180,V0033
241,BH,FO,BH->FO,200,1,09:00,12:00,180,V0162
242,BH,NA,BH->NA,200,1,12:00,15:00,180,V0330
243,BH,RE,BH->RE,200,1,06:00,09:00,180,V0016
244,BH,RE,BH->RE,200,1,07:00,10:00,180,V0091
245,BH,RE,BH->RE,100,1,09:00,12:00,180,V0172
246,BH,SA,BH->SA,200,1,07:00,09:00,120,V0034
247,BH,BR,BH->BR,200,1,07:00,08:00,60,V0040
248,BH,BR,BH->BR,200,1,09:00,10:00,60,V0177
249,BH,BR,BH->BR,100,1,10:00,11:00,60,V0213
250,BH,CI,BH->CI,200,1,13:00,15:00,120,V0362
251,BH,RJ,BH->RJ,200,1,07:00,08:00,60,V0044
252,BH,RJ,BH->RJ,200,1,08:00,09:00,60,V0111
253,BH,RJ,BH->RJ,200,1,12:00,13:00,60,V0329
254,BH,SP,BH->SP,200,1,08:00,09:00,60,V0102
255,BH,SP,BH->SP,200,1,13:00,14:00,60,V0372
256,BH,SP,BH->SP,200,1,14:00,15:00,60,V0401
